euSolID	SP Ontology	Variaty name	Accession number in other genebank	Original source of the accession	colSiteCountry
EA00001	SP:0000173	ABE LINCOLN		 C. MALE	unk
EA00001	SP:0000127	ABE LINCOLN		 C. MALE	unk
EA00001	SP:0000128	ABE LINCOLN		 C. MALE	unk
EA00001	SP:0000004	ABE LINCOLN		 C. MALE	unk
EA00001	SP:0000071	ABE LINCOLN		 C. MALE	unk
EA00001	SP:0000180	ABE LINCOLN		 C. MALE	unk
EA00001	SP:0000012	ABE LINCOLN		 C. MALE	unk
EA00001	SP:0000038	ABE LINCOLN		 C. MALE	unk
EA00003	SP:0000173	ACME		 C. MALE	unk
EA00003	SP:0000127	ACME		 C. MALE	unk
EA00003	SP:0000128	ACME		 C. MALE	unk
EA00003	SP:0000004	ACME		 C. MALE	unk
EA00003	SP:0000071	ACME		 C. MALE	unk
EA00003	SP:0000012	ACME		 C. MALE	unk
EA00003	SP:0000038	ACME		 C. MALE	unk
EA00004	SP:0000173	AIRYLEAF		 C. MALE	unk
EA00004	SP:0000127	AIRYLEAF		 C. MALE	unk
EA00004	SP:0000128	AIRYLEAF		 C. MALE	unk
EA00004	SP:0000004	AIRYLEAF		 C. MALE	unk
EA00004	SP:0000071	AIRYLEAF		 C. MALE	unk
EA00004	SP:0000180	AIRYLEAF		 C. MALE	unk
EA00004	SP:0000012	AIRYLEAF		 C. MALE	unk
EA00004	SP:0000038	AIRYLEAF		 C. MALE	unk
EA00005	SP:0000173	ALICE ROOSEVELT		 C. MALE	unk
EA00005	SP:0000127	ALICE ROOSEVELT		 C. MALE	unk
EA00005	SP:0000128	ALICE ROOSEVELT		 C. MALE	unk
EA00005	SP:0000004	ALICE ROOSEVELT		 C. MALE	unk
EA00005	SP:0000071	ALICE ROOSEVELT		 C. MALE	unk
EA00005	SP:0000180	ALICE ROOSEVELT		 C. MALE	unk
EA00005	SP:0000012	ALICE ROOSEVELT		 C. MALE	unk
EA00005	SP:0000038	ALICE ROOSEVELT		 C. MALE	unk
EA00006	SP:0000173	ALPHA PINK		 C. MALE	unk
EA00006	SP:0000127	ALPHA PINK		 C. MALE	unk
EA00006	SP:0000128	ALPHA PINK		 C. MALE	unk
EA00006	SP:0000004	ALPHA PINK		 C. MALE	unk
EA00006	SP:0000071	ALPHA PINK		 C. MALE	unk
EA00006	SP:0000180	ALPHA PINK		 C. MALE	unk
EA00006	SP:0000012	ALPHA PINK		 C. MALE	unk
EA00006	SP:0000038	ALPHA PINK		 C. MALE	unk
EA00008	SP:0000173	AMISH OLD RED		 C. MALE	unk
EA00008	SP:0000127	AMISH OLD RED		 C. MALE	unk
EA00008	SP:0000128	AMISH OLD RED		 C. MALE	unk
EA00008	SP:0000004	AMISH OLD RED		 C. MALE	unk
EA00008	SP:0000071	AMISH OLD RED		 C. MALE	unk
EA00008	SP:0000180	AMISH OLD RED		 C. MALE	unk
EA00008	SP:0000012	AMISH OLD RED		 C. MALE	unk
EA00008	SP:0000038	AMISH OLD RED		 C. MALE	unk
EA00009	SP:0000173	AMISH POTATO LEAF		 C. MALE	unk
EA00009	SP:0000127	AMISH POTATO LEAF		 C. MALE	unk
EA00009	SP:0000128	AMISH POTATO LEAF		 C. MALE	unk
EA00009	SP:0000004	AMISH POTATO LEAF		 C. MALE	unk
EA00009	SP:0000071	AMISH POTATO LEAF		 C. MALE	unk
EA00009	SP:0000180	AMISH POTATO LEAF		 C. MALE	unk
EA00009	SP:0000012	AMISH POTATO LEAF		 C. MALE	unk
EA00009	SP:0000038	AMISH POTATO LEAF		 C. MALE	unk
EA00010	SP:0000173	ANNA HERMAN		 C. MALE	unk
EA00010	SP:0000127	ANNA HERMAN		 C. MALE	unk
EA00010	SP:0000128	ANNA HERMAN		 C. MALE	unk
EA00010	SP:0000004	ANNA HERMAN		 C. MALE	unk
EA00010	SP:0000071	ANNA HERMAN		 C. MALE	unk
EA00010	SP:0000180	ANNA HERMAN		 C. MALE	unk
EA00010	SP:0000012	ANNA HERMAN		 C. MALE	unk
EA00010	SP:0000038	ANNA HERMAN		 C. MALE	unk
EA00012	SP:0000173	ASHLEIGH		 C. MALE	unk
EA00012	SP:0000127	ASHLEIGH		 C. MALE	unk
EA00012	SP:0000128	ASHLEIGH		 C. MALE	unk
EA00012	SP:0000004	ASHLEIGH		 C. MALE	unk
EA00012	SP:0000071	ASHLEIGH		 C. MALE	unk
EA00012	SP:0000180	ASHLEIGH		 C. MALE	unk
EA00012	SP:0000012	ASHLEIGH		 C. MALE	unk
EA00012	SP:0000038	ASHLEIGH		 C. MALE	unk
EA00014	SP:0000173	AZURE		 C. MALE	unk
EA00014	SP:0000127	AZURE		 C. MALE	unk
EA00014	SP:0000128	AZURE		 C. MALE	unk
EA00014	SP:0000004	AZURE		 C. MALE	unk
EA00014	SP:0000071	AZURE		 C. MALE	unk
EA00014	SP:0000180	AZURE		 C. MALE	unk
EA00014	SP:0000012	AZURE		 C. MALE	unk
EA00014	SP:0000038	AZURE		 C. MALE	unk
EA00018	SP:0000173	BEAUTY OF LORRAINE		 C. MALE	unk
EA00018	SP:0000127	BEAUTY OF LORRAINE		 C. MALE	unk
EA00018	SP:0000128	BEAUTY OF LORRAINE		 C. MALE	unk
EA00018	SP:0000004	BEAUTY OF LORRAINE		 C. MALE	unk
EA00018	SP:0000071	BEAUTY OF LORRAINE		 C. MALE	unk
EA00018	SP:0000180	BEAUTY OF LORRAINE		 C. MALE	unk
EA00018	SP:0000012	BEAUTY OF LORRAINE		 C. MALE	unk
EA00018	SP:0000038	BEAUTY OF LORRAINE		 C. MALE	unk
EA00019	SP:0000173	Becker's Blau		 C. MALE	unk
EA00019	SP:0000127	Becker's Blau		 C. MALE	unk
EA00019	SP:0000128	Becker's Blau		 C. MALE	unk
EA00019	SP:0000004	Becker's Blau		 C. MALE	unk
EA00019	SP:0000071	Becker's Blau		 C. MALE	unk
EA00019	SP:0000180	Becker's Blau		 C. MALE	unk
EA00019	SP:0000038	Becker's Blau		 C. MALE	unk
EA00021	SP:0000173	BERNIE		 C. MALE	unk
EA00021	SP:0000127	BERNIE		 C. MALE	unk
EA00021	SP:0000128	BERNIE		 C. MALE	unk
EA00021	SP:0000004	BERNIE		 C. MALE	unk
EA00021	SP:0000071	BERNIE		 C. MALE	unk
EA00021	SP:0000180	BERNIE		 C. MALE	unk
EA00021	SP:0000012	BERNIE		 C. MALE	unk
EA00021	SP:0000038	BERNIE		 C. MALE	unk
EA00022	SP:0000173	BERWICK GERMAN		 C. MALE	unk
EA00022	SP:0000127	BERWICK GERMAN		 C. MALE	unk
EA00022	SP:0000128	BERWICK GERMAN		 C. MALE	unk
EA00022	SP:0000004	BERWICK GERMAN		 C. MALE	unk
EA00022	SP:0000071	BERWICK GERMAN		 C. MALE	unk
EA00022	SP:0000180	BERWICK GERMAN		 C. MALE	unk
EA00022	SP:0000012	BERWICK GERMAN		 C. MALE	unk
EA00022	SP:0000038	BERWICK GERMAN		 C. MALE	unk
