row	Gene Family	Gene Symbol	Locus	GenBank Accession	GO	GO Relationship_Type	GO Evidence Code	GO Reference	PO	PO Relationship_Type	PO Evidence Code	PO Reference	PO_dev	PO_dev Relationship_Type	PO_dev Evidence Code	PO_dev Reference	SPO	Pubmed:24260152
1			Solyc02g087880.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
2			Solyc06g009210.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
3			Solyc07g005440.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
4			Solyc02g085950.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
5			Solyc07g056540.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
6			Solyc11g010230.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
7			Solyc07g063600.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
8			Solyc04g082010.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
9			Solyc01g081500.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
10			Solyc04g076280.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
11			Solyc09g010800.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
12			Solyc02g082570.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
13			Solyc02g084440.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
14			Solyc09g009020.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
15			Solyc09g007730.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
16			Solyc12g096450.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
17			Solyc06g084440.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
18			Solyc02g090820.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
19			Solyc03g114730.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
20			Solyc01g097190.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
21			Solyc10g081980.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
22			Solyc01g101100.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
23			Solyc07g062970.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
24			Solyc01g102750.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
25			Solyc01g103430.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
26			Solyc07g064610.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
27			Solyc11g068650.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
28			Solyc01g107190.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
29			Solyc04g018130.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
30			Solyc02g089090.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
31			Solyc01g091030.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
32			Solyc01g110480.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
33			Solyc06g071280.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
34			Solyc02g084900.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
35			Solyc02g079880.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
36			Solyc01g104920.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
37			Solyc05g009600.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
38			Solyc04g009580.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
39			Solyc01g107160.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
40			Solyc11g009010.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
41			Solyc09g075210.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
42			Solyc10g081600.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
43			Solyc07g041660.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
44			Solyc01g009820.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
45			Solyc04g076810.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
46			Solyc06g068450.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
47			Solyc07g053150.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
48			Solyc11g005250.1.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
49			Solyc07g008190.2.1		biological_process--GO:0052567--response to defense-related host reactive oxygen species production	involved_in	inferred from direct assay	14973161	plant_anatomy--PO:0025034--leaf	expressed_in	inferred from expression pattern	14973161						
