Acession	Description
pe0003	albino
pe0004	dwarf dominant
pe0006	small plant
pe0007	yellow leaf
pe0008	 inhibited and yellow growth
pe0009	inhibited growth
pe0011	 yellow leaf
pe0015	2 small
pe0021	flower morphology, multi locules
pe0022	variegation, very narrow distorted leaf 
pe0023	albino
pe0025	distorted leaf, small plant
pe0027	small plant
pe0028	yellow cotyledon
pe0030	small fruit 
pe0032	flower morphology, leaf like sepal 
pe0033	yellow inhibited plant
pe0034	distorted leaf
pe0037	small plant
pe0038	 small leaves
pe0040	small yelow plant
pe0041	 large distorted leaf 
pe0045	albino, yellow inhibited growth
pe0046	albino  leaf texture
pe0048	 inhibited growth
pe0051	pointed leaf small
pe0053	 inhibited yellow plant
pe0055	distorted leaf structure
pe0058	 leaf texture
pe0059	distorted leaf
pe0061	small fruit
pe0065	yellow plant
pe0067	joint cotyledon
pe0068	distorted  leaf structure
pe0069	distorted  leaf structure
pe0073	yellow plant
pe0074	 inhibited growth
pe0076	3 cotyledons
pe0078	no meristem
pe0079	distorted leaf
pe0081	inhibited yellow plant
pe0083	distorted leaf structure
pe0086	dwarf
pe0088	small fruit
pe0089	yellow plant
pe0090	small fruit
pe0091	distorted  leaf structure
pe0093	dwarf
pe0094	dwarf
pe0097	elongated fruit
pe0099	yellow plant
pe0100	small fruit
pe0103	dark green leaf, dominant 
pe0105	inhibited yellow plant
pe0108	very small plant dominant, albino
pe0110	distorted growth habit
pe0111	very small plant, dominant, elongated fruit
pe0112	yellow plant
pe0113	flower morphology, 2 whorls of petals
pe0114	distorted plant growth
pe0115	yellow plant
pe0118	very inhibited growth
pe0122	leaves rolled upwards, yellow leaf
pe0123	small fruit 
pe0126	 dwarf, dominant
pe0128	yellow plant dominant
pe0129	inhibited growth dominant
pe0130	distorted growth habit
pe0131	inhibited growth
pe0133	inhibited growth
pe0134	elongated fruit
pe0135	 yelow leaf
pe0137	small plant
pe0138	1 cotyledon
pe0139	yellow plant
pe0141	wrinkled fruit
pe0142	 leaf texture and development, distorted growth 
pe0144	small plant
pe0146	small plant
pe0148	dark green leaf, 2 flowers per node
pe0150	small yellow plant
pe0151	small plant,  leaf texture
pe0153	yellow plant
pe0156	yellow plant
pe0157	dwarf dark green leaf
pe0158	leaf texture
pe0159	small plant
pe0165	inhibited yellow plant
pe0166	small plant
pe0167	yellow plant
pe0169	laef texture
pe0171	dark green leaf ,dominant
pe0175	small plant
pe0178	leaf texture
pe0180	distorted leaf
pe0181	small plant
pe0182	4 cotyledons
pe0184	small plant
pe0185	yellow, small plant
pe0186	yellow, small plant
pe0187	distorted growth
pe0190	albino, distorted leaf vein, mosaic
pe0193	albino, small plant
pe0195	albino, thick distorted leaf vein
pe0197	 leaf texture and development, distorted growth 
pe0199	small distorted leaf
pe0200	very small plant 
pe0201	distorted growth habit
pe0203	yellow plant
pe0204	yellow, leaf texture
pe0206	albino
pe0208	albino
pe0209	albino
pe0210	inhibited growth, leaf texture
pe0213	yellow, leaf texture
pe0215	wilting
pe0219	small plant
pe0224	yellow, leaf texture
pe0225	yellow, leaf texture
pe0229	distorted leaves; fasciated fruit 
pe0231	small plant; small fruit
pe0234	3 cotyledons
pe0237	small plant, dominant
pe0238	distorted growth, flatened fruit shape
pe0239	small plant,  dark green leaf
pe0240	small plant, dominant
pe0242	wilting
pe0244	yellow, leaf texture
pe0249	small plant
pe0251	yellow plant
pe0255	elongated fruit
pe0256	elongated fruit
pe0259	joint cotyledons
pe0260	small plant
pe0261	small plant
pe0263	small plant
pe0264	joint cotyledons
pe0267	yellow plant
pe0268	small plant,  leaf texture
pe0269	yellow plant
pe0273	dwarf, dominant
pe0274	yellow plant
pe0275	yellow plant
pe0276	small plant
pe0278	small plant
pe0279	leaf texture 
pe0280	oval fruit
pe0282	small plant
pe0283	small plant
pe0284	small plant
pe0285	small plant
pe0286	inhibited growth, leaf texture
pe0288	distorted growth habit
pe0289	distorted leaf
pe0291	small fruit
pe0292	inhibited growth
pe0293	small plant
pe0294	leaf texture
pe0295	anthocyanin in stem
pe0303	small plant, yellow
pe0307	leaf texture, distorted growth
pe0308	small plant
pe0310	small plant
pe0311	elongated fruit
pe0313	small fruit
pe0314	 leaf texture, small plant, yellow leaf 
pe0315	very small plant , yellow leaf
pe0317	inhibited growth, 1 -2 flowers per node
pe0318	reduced lateral branching
pe0319	small plant
pe0323	inhibited growth
pe0324	3 cotyledons
pe0328	joint cotyledons
pe0329	small plant
pe0330	yellow leaf
pe0331	small plant
pe0334	small plant
pe0335	small plant
pe0336	small plant
pe0337	small plant, leaf texture 
pe0339	 leaf texture
pe0340	small plant
pe0341	small plant
pe0342	yellow plant
pe0343	small plant, yellow
pe0344	leaf morphology
pe0345	leaf texture
pe0347	small plant
pe0348	small plant
pe0349	distorted growth, reduced lateral branching
pe0350	yellow plant
pe0353	small plant
pe0354	yellow plant
pe0357	yellow plant
pe0358	small plant
pe0359	light green leaf
pe0362	leaf texture
pe0367	small plant
pe0368	small plant
pe0370	leaf distortion
pe0371	small plant
pe0373	distorted growth
pe0379	yellow plant
pe0380	small plant leaf texture
pe0381	1 cotyledon
pe0384	 albino
pe0385	leaf texture
pe0386	 small plant, dominant
pe0387	yellow plant
pe0388	leaf texture
pe0391	albino
pe0392	leaf texture
pe0393	anthocyanin in leaf
pe0394	inhibited growth
pe0397	small plant, dark green leaf
pe0398	yellow plant
pe0400	green and white sectors in leaf
pe0404	inhibited growth
pe0405	albino
pe0408	leaf morphology-lobes in leaf
pe0409	leaf texture
pe0411	small plant
pe0412	dark green leaf, leaf texture
pe0413	leaf texture
pe0415	distorted leaf
pe0422	yellow plant
pe0424	 albino
pe0425	yellow leaf with green mosaic
pe0430	distorted leaf
pe0432	small plant
pe0433	small plant
pe0435	dark green leaf, dwarf, distorted growth (dumpy)
pe0440	yellow plant
pe0448	yellow plant
pe0452	yellow plant
pe0453	small plant
pe0454	small plant
pe0456	small plant
pe0460	yellow plant
pe0464	cream/yellow leaf, distorted growth
pe0467	inhibited growthl
pe0476	small plant
pe0477	light green leaf
pe0478	albino
pe0481	small plant
pe0486	distorted leaf
pe0489	distorted leaf
pe0490	small plant
pe0491	small plant
pe0493	distorted growth
pe0496	small plant
pe0505	narrow long cotyledon
pe0511	albino
pe0512	dark green leaf, dwarf, distorted growth (dumpy)
pe0513	 inhibited growth
pe0515	small plant
pe0517	yellow plant
pe0518	distorted leaf
pe0521	yellow plant
pe0524	1 cotyledon
pe0526	distorted leaf
pe0528	leaves curled upwards
pe0529	small plant
pe0533	yellow plant
pe0534	small plant
pe0535	leaf texture
pe0538	leaf texture
pe0539	yellow plant
pe0540	yellow plant
pe0544	yellow plant
pe0545	albino
pe0550	leaf texture
pe0551	joint cotyledon
pe0553	inhibited growth
pe0556	leaf texture
pe0558	leaf texture
pe0560	inhibited growth
pe0562	1-3 cotyledons
pe0564	yellow plant
pe0569	albino
pe0571	small plant
pe0575	small plant
pe0577	dark green leaf
pe0581	inhibited growth
pe0582	leaf texture
pe0585	distorted leaf
pe0587	yellow plant
pe0589	leaf texture
pe0590	yellow plant
pe0591	yellow plant
pe0597	leaf texture
pe0801	large fasciated ovary
pe0804	small fruit
pe0807	inhibited growth
pe0809	round leaf
pe0811	dominant, leaf texture
pe0813	yellow cot
pe0814	inhibited growth
pe0816	 leaf texture
pe0817	small plant
pe0818	small plant, curled leaf
pe0819	yellow plant
pe0821	 leaf texture
pe0822	yellow plant
pe0824	inhibited growth
pe0826	small plant
pe0827	 leaf texture, small plant
pe0828	bright folded leaf, dwarf
pe0834	small plant
pe0835	small plant
pe0836	yellow plant
pe0837	small plant
pe0840	leaf texture
pe0841	small plant
pe0842	small plant
pe0844	yellow leaf
pe0845	small plant
pe0846	leaf texture, small plant
pe0847	yellow leaf
