AccessionNum	Gene	Allele	ImageNum	Hyperlink
2-069	dl	--	890	http://tgrc.ucdavis.edu/images/dl-2-069-stem.jpg
2-069	dl	--	891	http://tgrc.ucdavis.edu/images/dl-2-069-flower.jpg
2-069	dl	--	892	http://tgrc.ucdavis.edu/images/dl,Dl^s-LA3906,LA3724,2-069-stems.jpg
2-089	ms-07	--	261	http://tgrc.ucdavis.edu/images/male.steriles.gif
2-132	ms-10	--	261	http://tgrc.ucdavis.edu/images/male.steriles.gif
2-185	cl-2	--	831	http://tgrc.ucdavis.edu/images/cl-2-2-185-inflorescence.jpg
2-191	ex	--	910	http://tgrc.ucdavis.edu/images/ex-2-191-flowers.jpg
2-219	vms	--	261	http://tgrc.ucdavis.edu/images/male.steriles.gif
2-219	vms	--	262	http://tgrc.ucdavis.edu/images/vms.gif
2-237	w-4	--	223	http://tgrc.ucdavis.edu/images/TGC.covers.gif
2-295	ht	--	737	http://tgrc.ucdavis.edu/images/3-602,LA3217,LA0512,3-035A,2-295,LA1795-leaves.jpg
2-295	ht	--	924	http://tgrc.ucdavis.edu/images/ht-2-295-seedling.jpg
2-295	ht	--	925	http://tgrc.ucdavis.edu/images/ht-2-295-leaves.jpg
2-455	ms-30	--	959	http://tgrc.ucdavis.edu/images/ms-30-2-455-flowers.jpg
2-461	ms-31	--	261	http://tgrc.ucdavis.edu/images/male.steriles.gif
2-505	clau	ff	99	http://tgrc.ucdavis.edu/images/TGC.covers2.gif
2-655a	au	tl	797	http://tgrc.ucdavis.edu/images/au^tl-2-655A-whole-plant.jpg
2-655a	au	tl	798	http://tgrc.ucdavis.edu/images/au^tl-2-655A-fruit.jpg
2-655a	au	tl	799	http://tgrc.ucdavis.edu/images/au^tl,IL-in-VF145-2-655A-seedling comp.jpg
2-839	Ms-48	--	960	http://tgrc.ucdavis.edu/images/ms-48-2-839-flowers.jpg
3-025	mgn	--	956	http://tgrc.ucdavis.edu/images/mgn,IL-inVF36-3-025-seedling.jpg
3-025	mgn	--	957	http://tgrc.ucdavis.edu/images/mgn-3-025-whole-plant.jpg
3-035A	ltf	--	737	http://tgrc.ucdavis.edu/images/3-602,LA3217,LA0512,3-035A,2-295,LA1795-leaves.jpg
3-035a	ltf	--	943	http://tgrc.ucdavis.edu/images/ltf-3-035A-leaves.jpg
3-035a	ltf	--	944	http://tgrc.ucdavis.edu/images/ltf-3-035A-seedling.jpg
3-047	pdc	--	973	http://tgrc.ucdavis.edu/images/pdc-3-047-whole-plant.jpg
3-047	pdc	--	1527	http://tgrc.ucdavis.edu/images/pdc,IL-in-VF36-3-047-seedling.jpg
3-057	trs	--	1022	http://tgrc.ucdavis.edu/images/trs-3-057-leaves,flowers,fruit.jpg
3-057	trs	--	1023	http://tgrc.ucdavis.edu/images/trs-3-057-seedling.jpg
3-057	trs	--	1024	http://tgrc.ucdavis.edu/images/trs-3-057-whole-plant.jpg
3-071	Ln	--	132	http://tgrc.ucdavis.edu/images/hair.mutants.gif
3-075	auv	--	93	http://tgrc.ucdavis.edu/images/auv_a.GIF
3-075	auv	--	94	http://tgrc.ucdavis.edu/images/auv_b.GIF
