AccessionNum	Gene	Allele	test
2-005	pst	--	x
2-009	ap	--	x
2-031	ms-02	--	x
2-032	ms-03	--	x
2-039	ms-05	--	x
2-044	ms-06	--	x
2-069	dl	--	x
2-089	ms-07	--	x
2-110	wd	--	x
2-121	ms-09	--	x
2-132	ms-10	--	x
2-137	pi	--	x
2-141	r	prov4	x
2-152	ms-11	--	x
2-161	ms-12	--	x
2-165	ms-13	--	x
2-175	ms-14	--	x
2-185	cl-2	--	x
2-191	ex	--	x
2-193	ms-15	--	x
2-219	vms	--	x
2-225	ms-17	--	x
2-233	ms-18	--	x
2-237	w-4	--	x
2-247	ds	--	x
2-253	ch	--	x
2-273	ms-23	--	x
2-277	ms-24	--	x
2-295	ht	--	x
2-303	ps	prov2	x
2-311	sf	--	x
2-313	ms-25	--	x
2-327	ms-15	26	x
2-331	ms-27	--	x
2-355	ms-28	--	x
2-367	afl	--	x
2-377	cpt	--	x
2-385	sp	+	x
2-389	sp	+	x
2-423	ms-29	--	x
2-455	ms-30	--	x
2-461	ms-31	--	x
2-471	ps	--	x
2-491	l	prov3	x
2-505	clau	ff	x
2-511	ms-33	--	x
2-513	ms-34	--	x
2-517	ms-10	35	x
2-539	ms-38	--	x
2-549	ms-39	--	x
2-553	ms-38	40	x
2-561	Lpg	--	x
2-565	fy	--	x
2-635	ms-10	36	x
2-639	tp	--	x
2-655A	au	tl	x
2-659	ms-45	--	x
2-681	ms-46	--	x
2-837	ms-15	47	x
2-839	Ms-48	--	x
3-007	dmt	--	x
3-025	mgn	--	x
3-033	mu	3	x
3-035A	ltf	--	x
3-045	mcn	--	x
3-047	pdc	--	x
3-057	trs	--	x
3-071	Ln	--	x
3-073	are	--	x
3-075	auv	--	x
3-081	ru	prov2	x
3-095	hl	prov3	x
3-105	apn	--	x
3-116	tl	--	x
3-121	aw	prov3	x
3-126	hl	prov4	x
3-128	vlg	--	x
3-245-1	bls	prov3	x
3-302	ah	prov2	x
3-343	ah	prov7	x
3-345	c	prov2	x
3-414	a	prov2	x
3-415	a	prov3	x
3-417	hl-2	--	x
3-420	d	provcr-2	x
3-422	d	provcr-3	x
3-602	bip	prov2	x
3-603	aw	prov4	x
3-604	c	prov3	x
3-605	h	--	x
3-605	hl	prov5	x
3-607	ah	prov3	x
3-609	c	prov4	x
3-610	bls	prov2	x
3-616	e	prov3	x
3-620	ae	prov3	x
3-623	d	prov2	x
3-624	d	--	x
3-625	alb	prov2	x
3-626	c	prov5	x
3-627	aw	prov5	x
3-628	ah	prov4	x
3-629	ah	prov5	x
3-630	dpy	prov2	x
3-631	c	prov6	x
3-705	e-2	--	next
3-706	ae	2	x
3-802	pi-2	--	x
3-803	abi	--	x
3-804	grn	--	x
3-805	ccf	--	x
LA0012	Ge	p	x
LA0012	sp	--	x
LA0013	a	--	x
LA0013	c	--	x
LA0013	d	--	x
LA0013	l	--	x
LA0013	r	--	x
LA0013	y	--	x
LA0014	al	--	x
LA0014	d	--	x
LA0014	dm	--	x
LA0014	f	--	x
LA0014	h	--	x
LA0014	j	--	x
LA0014	wt	--	x
LA0015	sd	--	x
LA0020	f	--	x
LA0020	sp	--	x
LA0021	ug	--	x
LA0023	wf	--	x
LA0030	j	--	x
LA0030	t	--	x
LA0030	wt	--	x
LA0052	br	--	x
LA0052	j	--	x
LA0052	wt	--	x
LA0053	Wo	--	x
LA0055	yv	--	x
LA0059	bl	--	x
LA0059	sp	--	x
LA0062	ms-16	--	x
LA0063	ps	--	x
LA0085	d	--	x
LA0085	h	--	x
LA0085	Wo	--	x
LA0086	c	--	x
LA0088	wf	--	x
LA0136	br	--	x
LA0136	t	--	x
LA0137	dl	--	x
LA0137	gq	--	x
LA0137	wd	--	x
LA0138	yv	--	x
LA0139	ex	--	x
LA0139	tf	--	x
LA0140	c	--	x
LA0140	sd	--	x
LA0140	vg	--	x
LA0154	d	--	x
LA0154	h	--	x
LA0154	sp	--	x
LA0154	u	--	x
LA0155	dv	--	x
LA0156	dv	--	x
LA0157	d	--	x
LA0157	m	--	x
LA0157	p	--	x
LA0157	r	--	x
