AccessionNum	Gene	Allele
2-005	pst	--
2-009	ap	--
2-031	ms-02	--
2-032	ms-03	--
2-039	ms-05	--
2-044	ms-06	--
2-069	dl	--
2-089	ms-07	--
2-110	wd	--
2-121	ms-09	--
2-132	ms-10	--
2-137	pi	--
2-141	r	prov4
2-152	ms-11	--
2-161	ms-12	--
2-165	ms-13	--
2-175	ms-14	--
2-185	cl-2	--
2-191	ex	--
2-193	ms-15	--
2-219	vms	--
2-225	ms-17	--
2-233	ms-18	--
2-237	w-4	--
2-247	ds	--
2-253	ch	--
2-273	ms-23	--
2-277	ms-24	--
2-295	ht	--
2-303	ps	prov2
2-311	sf	--
2-313	ms-25	--
2-327	ms-15	26
2-331	ms-27	--
2-355	ms-28	--
2-367	afl	--
2-377	cpt	--
2-385	sp	+
2-389	sp	+
2-423	ms-29	--
2-455	ms-30	--
2-461	ms-31	--
2-471	ps	--
2-491	l	prov3
2-505	clau	ff
2-511	ms-33	--
2-513	ms-34	--
2-517	ms-10	35
2-539	ms-38	--
2-549	ms-39	--
2-553	ms-38	40
2-561	Lpg	--
2-565	fy	--
2-635	ms-10	36
2-639	tp	--
2-655A	au	tl
2-659	ms-45	--
2-681	ms-46	--
2-837	ms-15	47
2-839	Ms-48	--
3-007	dmt	--
3-025	mgn	--
3-033	mu	3
3-035A	ltf	--
3-045	mcn	--
3-047	pdc	--
3-057	trs	--
3-071	Ln	--
3-073	are	--
3-075	auv	--
3-081	ru	prov2
3-095	hl	prov3
3-105	apn	--
3-116	tl	--
3-121	aw	prov3
3-126	hl	prov4
3-128	vlg	--
3-245-1	bls	prov3
3-302	ah	prov2
3-343	ah	prov7
3-345	c	prov2
3-414	a	prov2
3-415	a	prov3
3-417	hl-2	--
3-420	d	provcr-2
3-422	d	provcr-3
3-602	bip	prov2
3-603	aw	prov4
3-604	c	prov3
3-605	h	--
3-605	hl	prov5
3-607	ah	prov3
3-609	c	prov4
3-610	bls	prov2
3-616	e	prov3
3-620	ae	prov3
3-623	d	prov2
3-624	d	--
3-625	alb	prov2
3-626	c	prov5
3-627	aw	prov5
3-628	ah	prov4
3-629	ah	prov5
3-630	dpy	prov2
3-631	c	prov6
3-705	e-2	--
3-706	ae	2
3-802	pi-2	--
3-803	abi	--
3-804	grn	--
3-805	ccf	--
LA0012	Ge	p
LA0012	sp	--
LA0013	a	--
LA0013	c	--
LA0013	d	--
LA0013	l	--
LA0013	r	--
LA0013	y	--
LA0014	al	--
LA0014	d	--
LA0014	dm	--
LA0014	f	--
LA0014	h	--
LA0014	j	--
LA0014	wt	--
LA0015	sd	--
LA0020	f	--
LA0020	sp	--
LA0021	ug	--
LA0023	wf	--
LA0030	j	--
LA0030	t	--
LA0030	wt	--
LA0052	br	--
LA0052	j	--
LA0052	wt	--
LA0053	Wo	--
LA0055	yv	--
LA0059	bl	--
LA0059	sp	--
LA0062	ms-16	--
LA0063	ps	--
LA0085	d	--
LA0085	h	--
LA0085	Wo	--
LA0086	c	--
LA0088	wf	--
LA0136	br	--
LA0136	t	--
LA0137	dl	--
LA0137	gq	--
LA0137	wd	--
LA0138	yv	--
LA0139	ex	--
