common name	accession	orgainsm	origin	comments	source	photo accession
Hainan eggplant	W301	S. melongena	China			
Long thin purple eggplant	W302	S. melongena	China			
Hong ku qie	W303	S. aethiopicum	China			
He Mong Tai Burmese eggplant	W307	S. melongena	China			
He leng	W308	S. violaceum	China			
He ba	W309	Datura sp.	China			
Thai-style eggplant	W310	S.melongena	China			
unknown	W311	S. viarum	China			
local he poi eggplant	W312	S. melongena	China			
local he poi eggplant	W317	S. melongena	China			
la mi	W318	tentative: S. pittosporifolium	China			
old black variety eggplant	W319	S. melongena	China			
unknown	W322	S. macrocarpon	China			
wild he poi eggplant	W323	S. melongena	China			
unknown	W324	S. macrocarpon	China			
wild eggplant	W325	S. undatum	China			
bianyuan he poi eggplant	W326	S. melongena	China			
traditional black variety eggplant	W328	S. melongena	China			
unknown	W330	mix batch anguivi and viarum	China			
local he poi eggplant	W332	S. melongena	China			
wild eggplant	W333	S. cumingii (may be S. melongena)	China			
local he poi eggplant	W339	S. melongena	China			
large he poi eggplant	W340	S. melongena	China			
local he poi eggplant	W341	S. melongena	China			
unknown	W342	S. viarum	China			
early cultivar eggplant	W343	S. melongena	China			
hong qie	W346	S. aethiopicum	China			
large he poi eggplant	W349	S. melongena	China			
local he poi eggplant	W352	S. melongena	China			
wild eggplant	W354	S. undatum	China			
large old cultivated eggplant	W356	S. melongena mix bag aethiopicum	China			
Dingras long purple eggplant	W362	S. melongena	Philippines			
resembles Dingras long purple eggplant	W363	S. melongena	Philippines			
white small long eggplant	W364	S. melongena	Philippines			
Peñablanca curved lavendar eggplant	W370	S. melongena	Philippines			
Tuguegarao lavendar traditional eggplant	W372	S. melongena	Philippines			
Peñablanca curved lavendar eggplant	W373	S. melongena	Philippines			
Peñablanca traditional eggplant	W375	S. melongena	Philippines			
Peñablanca traditional eggplant	W376	S. melongena	Philippines			
Lagum native eggplant	W377	S. melongena	Philippines			
Long purple 1 eggplant	W378	S. melongena	Philippines			
Wite-purple long eggplant	W381	S. melongena	Philippines			
unknown	W382	S. capsicoides	Philippines			
Shebing Guizhou heirloom	W384	S. melongena	China			
Baguio heirloom	W385	S. melongena	Philippines			
Ilocos round green eggplant	W387	S. melongena	Philippines	Kaneko Seeds- Philippines		
wild hong qie	W391	S. anguivi	China			
Puangyok/ Xiao ku gua	W393	S. torvum	China			
eggplant	FS20148A	S. melongena	MMSU Leticia			
wild eggplant	S00011	S. incanum	Malaysia		AVRDC (Asian Vegetable Research and Development Center)	A2
