#	Line #	Plot Number	Replicate Number	Date data gathered	Flower color	Vine maturity (95 DAP)	Vine maturity (120 DAP)	Growth habit	Total Yield	Specific gravity 	Plot Tuber picture	Tuber skin color	Tuber skin texture	Tuber flesh color	Tuber shape 	Tuber length	Tuber width	Tuber height	Tuber eye depth	Tuber size	Tuber appearance
#	#	#	#	mm/dd/yy	white, purple, or red, blue	Scale 1-9, see appendix	PVP scale 1-9, see appendix	PVP scale 1-9, see appendix	3 digits and a tenth (kg)	SG = (air)/(air-water), 1.###	filename	PVP	NE1014 scale 1-9, see appendix	PVP scale 1-9, see appendix	see NE1014 chart, use Figure 14 in appendix as guide	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	PVP scale 1-9, see appendix 	NE1014 scale 1-9, see appendix	NE1014 scale 1-9, see appendix
accession	Line #	Plot Number	Replicate Number	date	SP:0000009|	SP:0000211|scale:potato_cooperators	SP:0000210|scale:potato_cooperators	SP:0000128|scale:PVP	SP:0000198|unit:kilogram	SP:0000217|unit:	filename	SP:0000185|scale:PVP	SP:0000186|scale:NE1014	SP:0000188|scale:PVP	SP:0000201|scale:potato_cooperators	SP:0000203|unit:millimeter	SP:0000204|unit:millimeter	SP:0000213|unit:millimeter	SP:0000191|scale:PVP	SP:0000322|scale:NE1014	SP:0000212|scale:NE1014
A05141-1|1	A05141-1	64-17	1	2009/09/23	LRP^	6	3	7	9.66168	1.087	A05141-1 Tuber.JPG	5	4	1	4	12.3	6.8	6.02	7	9	5
A05141-1|2	A05141-1	63-42	2	2009/09/23	LRP^	7	6	7	39.4	1.094		5	4	1	5				7	7	7
A05141-2|1	A05141-2	62-22	1	2009/09/23	W	4	1	5	6.44112	1.088	A05141-2 Tuber.JPG	5	4	1	4	10.29	5.89	5.57	5	3	5
A05141-2|2	A05141-2	62-30	2	2009/09/23	W	5	2	5	17.4	1.091		5	4	1	4				5	3	5
A05141-3|1	A05141-3	63-22	1	2009/09/23	MRP^	8	8	7	5.94216	1.092	A05141-3 Tuber.JPG	4	5	1	4	10.61	6.21	5.47	3	5	5
A05141-3|2	A05141-3	65-30	2	2009/09/23	MRP^	8	8	5	17.2	1.082		4	5	1	5				5	5	5
A05141-5|1	A05141-5	64-21	1	2009/09/23	W	5	2	5	7.07616	1.082	A05141-5 Tuber.JPG	6	3	1	5	12.6333333333333	6.87	6.25	7	9	5
A05141-5|2	A05141-5	65-49	2	2009/09/23	W	6	3	3	30.4	1.083		5	4	1	4				7	7	5
A05141-6|1	A05141-6	63-11	1	2009/09/23	MRP^	8	8	7	10.47816	1.082	A05141-6 Tuber.JPG	4	6	1	5	12.08	5.67	5.27	3	5	5
A05141-6|2	A05141-6	62-31	2	2009/09/23	MRP^	8	7	7	30.4	1.079		1	7	1	5				5	3	7
A05141-7|1	A05141-7	63-12	1	2009/09/23	W	6	2	5	9.02664	1.084	A05141-7 Tuber.JPG	4	5	1	5	14.4	6	5.52	7	7	5
A05141-7|2	A05141-7	64-26	2	2009/09/23	W	6	4	7	39.4	1.079		5	4	1	5				7	9	7
A05141-8|1	A05141-8	63-14	1	2009/09/23	W	5	2	5	8.34624	1.089	A05141-8 Tuber.JPG	4	5	1	5	15.59	5.71	5.11	7	9	5
A05141-8|2	A05141-8	62-35	2	2009/09/23	W	6	2	5	30.8	1.099		4	5	1	5				7	7	3
A05141-9|1	A05141-9	63-24	1	2009/09/23	LRP^	7	2	5	8.43696	1.078	A05141-9 Tuber.JPG	4	6	1	4	11.23	6.68	6	7	5	5
A05141-9|2	A05141-9	62-43	2	2009/09/23	LRP^	7	2	3	32.2	1.082		4	5	1	4				7	5	5
A05141-10|1	A05141-10	62-16	1	2009/09/23	W	7	2	5	6.25968	1.085	A05141-10 Tuber.JPG	6	2	1	5	11.95	6.02	5.52	5	3	7
A05141-10|2	A05141-10	65-41	2	2009/09/23	W	7	5	5	24	1.087		6	3	1	5				5	7	7
A05141-11|1	A05141-11	65-22	1	2009/09/23	MRP^	8	6	5	9.43488	1.083	A05141-11 Tuber.JPG	4	6	1	5	14.47	6.48	5.84	5	7	5
A05141-11|2	A05141-11	62-39	2	2009/09/23	MRP^	8	6	5	35.5	1.079		1	6	1	5				5	9	7
A05141-12|1	A05141-12	64-23	1	2009/09/23	MRP^	5	1	3	4.71744	1.09	A05141-12 Tuber.JPG	6	3	1	4	8.64	6.11111111111111	4.89	5	3	5
A05141-12|2	A05141-12	64-35	2	2009/09/23	MRP^	4	1	5	8.4	1.089		5	4	1	4				5	3	3
