accession	Line #	Plot Number	Replicate Number	Date data gathered	Vine maturity (95 DAP)	Vine maturity (120 DAP)	Growth habit	Date data gathered	Total Yield	Specific gravity at harvest	Tuber skin color	Tuber skin texture	Tuber flesh color	Tuber shape	Tuber length	Tuber width	Tuber height	Tuber eye depth	Tuber size	Tuber appearance	Heat sprout rating	Date data gathered	Specific gravity at storage	SFA Chip color - 45°	Colorimeter Chip Color	Sugar Analysis-Sucrose	Sugar Analysis-Glucose
accession	#	#	#	mm/dd/yy	Scale 1-9	PVP scale 1-9	PVP scale 1-9	mm/dd/yy	kg	SG = (air)/(air-water)	PVP scale 1-9	NE1014 scale 1-9	PVP scale 1-9	see NE1014 chart, use Figure 14 in appendix as guide	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	PVP scale 1-9, see appendix	NE1014 scale 1-9	NE1014 scale 1-9	Scale 1-9	mm/yyyy	SG = (air)/(air-water), 1.###	SFA 1-5 color chart		mg/g fresh weight (FW)	mg/g fresh weight (FW)
accession	Line #	Plot Number	Replicate Number	date	SP:0000211|scale:potato_cooperators	SP:0000210|scale:potato_cooperators	SP:0000128|qscale:PVP	date1	SP:0000198|unit:kg	SP:0000218|unit:	SP:0000185|qscale:PVP	SP:0000186|qscale:NE1014	SP:0000188|qscale:PVP	SP:0000201|qscale:potato_cooperators	SP:0000203|unit:millimeter	SP:0000204|unit:millimeter	SP:0000213|unit:mm	SP:0000191|scale:PVP	SP:0000322|scale:NE1014	SP:0000212|scale:NE1014	SP:0000220|scale:potato_cooperators	date2	SP:0000219|unit:	SP:0000223|unit:	SP:0000224|unit:	SP:0000214|unit:milligram	SP:0000215|unit:milligram
A05141-1|1	A05141-1	1040	1	2009/06/03	5	4	4	2009/07/24	1.666	1.06385696040868	5	5	1	5	69.498	51.459	45.899	3	4	4	3	2009/08/01	1.06884057971015	2	58	1.9388	0.5514
A05141-1|2	A05141-1	2011	2	2009/06/03	3	6	4	2009/07/24	2.274	1.06261682242991	5	6	1	4	57.369	48.08	44.006	3	4	3	3	2009/08/01	1.0752688172043	2	55	2.4177	0.8853
A05141-2|1	A05141-2	1053	1	2009/06/03	7	3	3	2009/07/24	1.339	1.07723250201126	5	6	1	4	64.856	50.967	46.115	3	4	4	1	2009/08/01	1.08	2	63	2.365	0.0765
A05141-2|2	A05141-2	2014	2	2009/06/03	5	2	2	2009/07/24	1.611	1.08048289738431	5	5	1	6	68.594	47.502	44.634	3	3	3	2	2009/08/01	1.0817843866171	2	58	1.9754	0.1907
A05141-3|1	A05141-3	1022	1	2009/06/03	3	5	7	2009/07/24	0.375	1.06232294617564	5	6	1	6	56.519	34.371	32.265	3	2	5	1	2009/08/01	1.06716417910448	2	55	5.4133	0.3947
A05141-3|2	A05141-3	2066	2	2009/06/03	5	9	8	2009/07/24	1.513	1.06175438596491	5	6	1	5	67.018	45.182	40.009	3	2	4	1	2009/08/01	1.07177033492823	2	56	3.08	0.2741
A05141-5|1	A05141-5	1086	1	2009/06/03	3	5	4	2009/07/24	2.823	1.06568516421291	6	3	1	6	84.586	49.704	45.771	2	7	6	3	2009/08/01	1.06727828746177	2	56	2.4292	0.7705
A05141-5|2	A05141-5	2031	2	2009/06/03	5	5	5	2029/07/24	3.705	1.0634328358209	5	5	1	7	101.634	56.261	49.637	4	6	4	3	2009/08/01	1.07538802660754	2	57	1.5492	0.6756
