Accession	Status	Accession Category	Taxon (Lycopersicon)	Taxon2 (Solanum)	Collection Site	Province Or Department	Country
LA0378	Active	Wild species	L. peruvianum	S. arcanum	Cascas	Cajamarca	Peru
LA0385	Active	Wild species	L. peruvianum var. humifusum	S. arcanum	San Juan (Rio Jequetepeque)	Cajamarca	Peru
LA0389	Unavailable	Wild species	L. peruvianum var. humifusum	S. arcanum	Abra Gavilan	Cajamarca	Peru
LA0392	Unavailable	Wild species	L. peruvianum	S. arcanum	Llallan	Cajamarca	Peru
LA0441	Active	Wild species	L. peruvianum	S. arcanum	Cerro Campana	La Libertad	Peru
LA1027	Unavailable	Wild species	L. peruvianum	S. arcanum	Chilete	Cajamarca	Peru
LA1031	Unavailable	Wild species	L. peruvianum	S. arcanum	Balsas	Amazonas	Peru
LA1032	Active	Wild species	L. peruvianum	S. arcanum	Aricapampa	La Libertad	Peru
LA1346	Active	Wild species	L. peruvianum	S. arcanum	Casmiche	La Libertad	Peru
LA1350	Active	Wild species	L. peruvianum	S. arcanum	Chauna	Cajamarca	Peru
LA1351	Active	Wild species	L. peruvianum	S. arcanum	Rupe	Cajamarca	Peru
LA1360	Active	Wild species	L. peruvianum	S. arcanum	Pariacoto	Ancash	Peru
LA1394	Active	Wild species	L. peruvianum	S. arcanum	Balsas - Rio Utcubamba	Amazonas	Peru
LA1395	Active	Wild species	L. peruvianum	S. arcanum	Chachapoyas	Amazonas	Peru
LA1396	Unavailable	Wild species	L. peruvianum	S. arcanum	Balsas (Chachapoyas)	Amazonas	Peru
LA1626	Active	Wild species	L. peruvianum	S. arcanum	Mouth of Rio Rupac	Ancash	Peru
LA1708	Active	Wild species	L. peruvianum	S. arcanum	Chamaya to Jaen	Cajamarca	Peru
LA1984	Active	Wild species	L. peruvianum	S. arcanum	Otuzco	La Libertad	Peru
LA1985	Active	Wild species	L. peruvianum	S. arcanum	Casmiche	La Libertad	Peru
LA2150	Active	Wild species	L. peruvianum var. humifusum	S. arcanum	Puente Muyuna	Cajamarca	Peru
LA2151	Active	Wild species	L. peruvianum var. humifusum	S. arcanum	Morochupa	Cajamarca	Peru
LA2152	Active	Wild species	L. peruvianum var. humifusum	S. arcanum	San Juan #1	Cajamarca	Peru
LA2153	Active	Wild species	L. peruvianum var. humifusum	S. arcanum	San Juan #2	Cajamarca	Peru
