contig	gi	accession	locus	locus name	locus symbol	activity	alias	description	keywords	organism	pubmed_ids	chromosome	mol_type	marker	allele	comments
Contig1	118185006	EF091820	EF091820	soluble inorganic pyrophosphatase	ppa	soluble inorganic pyrophosphatase	ppa	Solanum tuberosum soluble inorganic pyrophosphatase mRNA, complete cds.		potato			mRNA|			
	534915	Z36894	Z36894				ppa	S.tuberosum (Desiree) ppa mRNA for soluble inorganic pyrophosphatase.	inorganic pyrophosphatase; PPA gene; pyrophosphatase	potato	8552717|		mRNA|			
Contig2	4106848	AF096321	AF096321	cytochrome c oxidase subunit II	cox2	cytochrome c oxidase	Yrps3|Yrps3|Yrpl16|Yrpl16|coxII|coxII|coxII|	Solanum tuberosum ribosomal protein S3 (Yrps3) gene, partial cds; ribosomal protein L16 (Yrpl16) gene, complete cds; and cytochrome oxidase subunit 2 (coxII) gene, partial cds; mitochondrial genes encoding mitochondrial proteins.		potato			genomic DNA|			
	78459556	DQ185064	DQ185064					Solanum tuberosum cytochrome c oxidase subunit II (COX2) gene, complete cds; mitochondrial.		potato	16352866|		genomic DNA|			
Contig3	66393198	AY948723	AY948723	x				Solanum tuberosum clone NU-YXL-IIt genomic sequence.		potato			genomic DNA|			
	66393197	AY948722	AY948722	x				Solanum tuberosum clone NU-YXL-IIs genomic sequence.		potato			genomic DNA|			
Contig4	26422759	AY170826	AY170826	acidic class 2 1,3-beta-glucanase precursor	gluA1	1,3-beta-glucanase 		Solanum tuberosum acidic class II 1,3-beta-glucanase precursor (GluA1) mRNA, partial cds.		potato			mRNA|			
	38091031	AJ586738	AJ586738				gluB8-1-3	Solanum tuberosum gluB8-1-3 gene for 1,3-beta-glucan glucanohydrolase.	1,3-beta-glucan glucanohydrolase; gluB8-1-3 gene	potato			genomic DNA|			
	26422795	AY170827	AY170827				GluA2	Solanum tuberosum acidic class II 1,3-beta-glucanase precursor (GluA2) mRNA, partial cds.		potato			mRNA|			
	37718540	AJ586575	AJ586575				gluB20-2	Solanum tuberosum mRNA for glucan endo-1,3-beta-glucosidase A precursor (gluB20-2 gene).	1,3-beta-D-glucan glucanohydrolase precursor; gluB20-2 gene; glucan; endo-1,3-beta-glucosidase A precursor	potato			mRNA|			
Contig5	5327246	Y15297	Y15297	disease resistance st333	ADG2	disease resistance R-gene	ADG2/2x(v-2)7a	Solanum tuberosum subsp. andigena ADG2/2x(v-2)7a gene, partial.	ADG2/2x(v-2)7a gene			11	genomic DNA|			
	1708731	U60082	STU60082				St333	Solanum tuberosum disease resistance homolog (St333) gene, partial cds.		potato	8944022|	11	genomic DNA|			
	16944810	AJ300266	AJ300266				ry-1	Solanum tuberosum subsp. andigena ry-1 gene for resistance gene-like, exons 1-6, splice variants C38 and C19.	alternative splicing; resistance gene-like; RY-1 gene		12118888|		genomic DNA|			
Contig6	14627133	AJ320185	AJ320185	snakin-1	sn1	antimicrobial agent		Solanum tuberosum sn1 gene for snakin-1, exons 1-2.	sn1 gene; snakin-1	potato			genomic DNA|			
	4102633	AF014396	AF014396				Stsn1	Solanum tuberosum antimicrobial agent Snakin-1 (Stsn1) mRNA, partial cds.		potato			mRNA|			
Contig7	5706545	AJ245634	AJ245634	ropinone reductase II 	tr2	ropinone reductase	TRII	Solanum tuberosum mRNA for tropinone reductase II (TRII gene).	TRII gene; tropinone reductase II	potato	11855731|		mRNA|			
	12057011	AJ292343	AJ292343					Solanum tuberosum mRNA for tropinone reductase II (trII gene).	TRII gene; tropinone reductase II	potato	11855731|		mRNA|			
Contig8	8515769	AF266746	AF266746				RGC3|	Solanum tuberosum RGC3 pseudogene, complete sequence.		potato	10972883|	12	genomic DNA|			
	5911744	AJ249449	AJ249449	Globodera pallida disease resistance 2	GPA2 	NBS-LRR protein	GPA2	Solanum tuberosum GPA2 gene for NBS-LRR protein, exons 1-3.	GPA2 gene; NBS-LRR protein; nucleotide binding and leucine-rich; repeat		10652152|	12	genomic DNA|			
Contig9	85679504	DQ342235	DQ342235	phytochrome B	phyB	phytochrome		Solanum tuberosum phytochrome B mRNA, complete cds.		potato			mRNA|			
	2326871	Y14572	Y14572					Solanum tuberosum phyB gene.	phyB gene; phytochrome B; regulatory photoreceptor	potato	1450376|		genomic DNA|			
Contig10	1279746	Z71247	Z71247	chloroplast JLA region	rpl2		rpl2|rps19|trnH|	Solanum tuberosum chloroplast JLA region, 1-230bp.	rpl2 gene; rps19' gene; transfer RNA-His; trnH gene	potato	8804393|		genomic DNA|			
	3355867	X93578	X93578				tRNA-His	S.tuberosum tRNA-His (261bp).	chloroplast; transfer RNA-His; tRNA-His gene	potato	9371887|		genomic DNA|			
Contig11	9801278	AJ278827	AJ278827	phosphoenolpyruvate carboxylase 1	ppc1	phosphoenolpyruvate carboxylase		Solanum tuberosum partial ppc1 gene, promoter region.	ppc1 gene; promoter	potato			genomic DNA|			
	972510	X90982	X90982					S.tuberosum ppc1 gene.	phosphoenolpyruvate carboxylase; ppc1 gene	potato	8251640|		genomic DNA|			
Contig12	609272	Z37973	Z37973	U2 small nuclear RNA	u2			S.tuberosum gene encoding U2 snRNA.	U2 small nuclear RNA	potato	7849760|		snRNA|			
	609271	Z37972	Z37972					S.tuberosum gene encoding U2 snRNA.	U2 small nuclear RNA	potato	7849760|		snRNA|			
Contig13	74058524	DQ141600	DQ141600	granule-bound starch synthase 	waxy	granule-bound starch synthase 	GBSS	Solanum tuberosum cultivar Atlantic granule-bound starch synthase (GBSS) gene, promoter region and 5' UTR.		potato			genomic DNA|			
	90994624	DQ387451	DQ387451					Solanum tuberosum granule-bound starch synthase mRNA, partial cds.		potato			mRNA|			
	21613	X52416	X52416				wx	S.tuberosum waxy gene for starch synthase (clone G1WxSt).	starch synthase; tissue specific expression; waxy gene; wx-beta-glucuronidase	potato			genomic DNA|			
	66393195	AY948720	AY948720					Solanum tuberosum clone NU-YXL-III genomic sequence.		potato			genomic DNA|			
	62125647	AY875553	AY875553					Solanum tuberosum granule-bound starch synthase (waxy) gene, partial sequence.		potato			genomic DNA|			
	62125634	AY875540	AY875540					Solanum tuberosum granule-bound starch synthase (waxy) gene, partial sequence.		potato			genomic DNA|			
	62125642	AY875548	AY875548					Solanum tuberosum granule-bound starch synthase (waxy) gene, partial sequence.		potato			genomic DNA|			
	62125639	AY875545	AY875545					Solanum tuberosum granule-bound starch synthase (waxy) gene, partial sequence.		potato			genomic DNA|			
	62125637	AY875543	AY875543					Solanum tuberosum granule-bound starch synthase (waxy) gene, partial sequence.		potato			genomic DNA|			
	62125641	AY875547	AY875547					Solanum tuberosum granule-bound starch synthase (waxy) gene, partial sequence.		potato			genomic DNA|			
	62125640	AY875546	AY875546					Solanum tuberosum granule-bound starch synthase (waxy) gene, partial sequence.		potato			genomic DNA|			
	62125638	AY875544	AY875544					Solanum tuberosum granule-bound starch synthase (waxy) gene, partial sequence.		potato			genomic DNA|			
	62125635	AY875541	AY875541					Solanum tuberosum granule-bound starch synthase (waxy) gene, partial sequence.		potato			genomic DNA|			
	62125649	AY875555	AY875555					Solanum tuberosum granule-bound starch synthase (waxy) gene, partial sequence.		potato			genomic DNA|			
	62125645	AY875551	AY875551					Solanum tuberosum granule-bound starch synthase (waxy) gene, partial sequence.		potato			genomic DNA|			
	62125646	AY875552	AY875552					Solanum tuberosum granule-bound starch synthase (waxy) gene, partial sequence.		potato			genomic DNA|			
	62125643	AY875549	AY875549					Solanum tuberosum granule-bound starch synthase (waxy) gene, partial sequence.		potato			genomic DNA|			
	62125644	AY875550	AY875550					Solanum tuberosum granule-bound starch synthase (waxy) gene, partial sequence.		potato			genomic DNA|			
	62125648	AY875554	AY875554					Solanum tuberosum granule-bound starch synthase (waxy) gene, partial sequence.		potato			genomic DNA|			
	62125636	AY875542	AY875542					Solanum tuberosum granule-bound starch synthase (waxy) gene, partial sequence.		potato			genomic DNA|			
	62125633	AY875539	AY875539					Solanum tuberosum granule-bound starch synthase (waxy) gene, partial sequence.		potato			genomic DNA|			
	21470	X58453	X58453					Potato gene for granule-bound starch synthase.	granule-bound starch synthase; starch (bacterial glycogen); synthase; waxy protein	potato	1886609|1515610|9011082|	8	genomic DNA|			
	602593	X83220	X83220					S.tuberosum GBSS gene.	GBSS gene; starch (bacterial glycogen) synthase	potato			genomic DNA|			
	22634	X66826	X66826					S.tuberosum Amf locus, Waxy locus DNA encoding pseudogene similar to beta-1,3-glucanases and beta-1,3-1,4-glucanases.	pseudogene	potato	8443350|	8	genomic DNA|			
Contig14	431223	X67509	X67509	X67509 deficiens analogue 	def4	MADS-box protein; transcriptional activator		S.tuberosum def4 gene for deficiens analogue promoter region (clone gdfe4/10S.t).	def4 gene; MADS-box protein; transcriptional activator	potato	7903890|		genomic DNA|			
	431225	X67511	X67511					S.tuberosum def4 gene for deficiens analogue (clone gdef4/13S.t).	def4 gene; deficiens; MADS-box protein; transcriptional activator	potato	7903890|		genomic DNA|			
Contig15	21566	X69761	X69761	ribulose-(1,5)-bisphosphate carboxylase/oxygenase S2	bcS2	ribulose-(1,5)-bisphosphate carboxylase/oxygenase 	bcS2b	S.tuberosum rbcS2b gene for ribulose-(1,5)-bisphosphate carboxylase/oxygenase small subunit.	chloroplast; gene expression; gene family; photosynthesis; protein; transport; rbcS2b gene	potato	8299958|	2	genomic DNA|			
	169560	M79358	POTRBCSC				POTRBCSC	Potato rbcS2b mRNA sequence.	light regulated; ribulose 1,5-bisphosphate carboxylase	potato	2034683|		mRNA|			
	21564	X69760	X69760				rbcS2a	S.tuberosum rbcS2 gene for ribulose-(1,5)-bisphosphate carboxylase/oxygenase small subunit.	chloroplast; gene expression; gene family; photosynthesis; protein; transport; rbcS2a gene	potato	8299958|	2	genomic DNA|			
	169559	M79357	POTRBCSB				POTRBCSB	Potato rbcS2a mRNA sequence.	light regulated; ribulose 1,5-bisphosphate carboxylase	potato	2034683|		mRNA|			
	169561	M79359	POTRBCSD				POTRBCSD	Potato rbcS2c mRNA sequence.	light regulated; ribulose 1,5-bisphosphate carboxylase	potato	2034683|		mRNA|			
	21568	X69762	X69762				rbcS2c	S.tuberosum rbcS2c gene for ribulose-(1,5)-bisphosphate carboxylase/oxygenase small subunit.	chloroplast; gene expression; gene family; photosynthesis; protein; transport; rbcS2c gene	potato	8299958|	2	genomic DNA|			
Contig16	169558	M79356	POTRBCSA	ribulose-(1,5)-bisphosphate carboxylase/oxygenase S1	rbcS1		POTRBCSA	Potato rbcS1 mRNA sequence.	light regulated; ribulose 1,5-bisphosphate carboxylase	potato	2034683|		mRNA|			
	21562	X69759	X69759				rbcS1	S.tuberosum rbcS1 gene for ribulose-(1,5)-bisphosphate carboxylase/oxygenase small subunit.	chloroplast; gene expression; gene family; photosynthesis; protein; transport; rbcS1 gene	potato	8299958|	3	genomic DNA|			
Contig17	1498377	U60487	STU60487				Pot46	Solanum tuberosum actin (Pot46) gene, partial cds.		potato	8896372|		genomic DNA|			
	21537	X55750	X55750	actin 71	ac71		PoAc71	S.tuberosum PoAc71 gene for actin.	actin; actin gene	potato	2120451|		genomic DNA|			
Contig18	21541	X55747	X55747				PoAc85c	S.tuberosum PoAc85c gene for actin (exons 2 & 3).	actin; actin gene	potato	2120451|		genomic DNA|			
	21535	X55749	X55749	actin 85			PoAc58	S.tuberosum PoAc58 gene for actin.	actin; actin gene	potato	2120451|		genomic DNA|			
	21545	X55748	X55748					S.tuberosum PoAc85 gene for actin, 3' UTR.	actin; actin gene	potato	2120451|		genomic DNA|			
